,geometry,ID
0,"POLYGON ((-75.90000000000001 17.3, -76 17.4, -75.90000000000001 17.5, -75.90000000000001 17.6, -75.8 17.7, -75.8 17.9, -76 18.1, -76.09999999999999 18, -76.2 18, -76.40000000000001 18.2, -76.40000000000001 18.3, -76.3 18.4, -76.3 18.5, -75.90000000000001 18.5, -75.8 18.6, -75.59999999999999 18.6, -75.5 18.5, -75.40000000000001 18.5, -75.3 18.4, -74.8 18.4, -75 18.2, -75 18.1, -75.2 17.9, -75.3 18, -75.5 18, -75.59999999999999 17.9, -75.59999999999999 17.8, -75.5 17.7, -75.59999999999999 17.6, -75.7 17.6, -75.90000000000001 17.4, -75.90000000000001 17.3))",0
1,"POLYGON ((-78.40000000000001 15.4, -78.59999999999999 15.6, -78.7 15.6, -78.8 15.5, -79.09999999999999 15.5, -79.40000000000001 15.8, -79.7 15.8, -79.8 15.7, -79.90000000000001 15.8, -80 15.7, -80.59999999999999 15.7, -80.7 15.8, -80.7 16, -80.59999999999999 15.9, -80.40000000000001 16.1, -80 16.1, -79.90000000000001 16.2, -79.90000000000001 16.3, -80 16.4, -79.8 16.4, -79.7 16.5, -79.59999999999999 16.5, -79.5 16.6, -79.2 16.6, -79.09999999999999 16.5, -79 16.6, -79 16.7, -78.90000000000001 16.8, -78.90000000000001 16.9, -79 17, -78.8 17.2, -78.7 17.2, -78.59999999999999 17.3, -78.5 17.2, -78.40000000000001 17.2, -78.3 17.1, -78.2 17.1, -78.09999999999999 17, -78.09999999999999 16.8, -78.2 16.7, -78.3 16.8, -78.40000000000001 16.7, -78.59999999999999 16.7, -78.7 16.8, -78.8 16.8, -78.90000000000001 16.7, -78.90000000000001 16.5, -78.8 16.4, -78.59999999999999 16.4, -78.5 16.3, -78.40000000000001 16.3, -78.5 16.2, -78.5 16, -78.40000000000001 15.9, -78.40000000000001 15.4))",0
2,"POLYGON ((-73.90000000000001 16.4, -73.8 16.5, -73.7 16.5, -73.40000000000001 16.8, -73.40000000000001 16.9, -73.3 17, -73 17, -72.8 17.2, -72.8 17.3, -72.59999999999999 17.5, -72.40000000000001 17.5, -72.3 17.6, -72.3 17.7, -72.2 17.8, -72.09999999999999 17.8, -72 17.9, -72 18.2, -72.09999999999999 18.3, -72.09999999999999 18.4, -72 18.5, -71.8 18.5, -71.8 18.2, -71.7 18.1, -71.40000000000001 18.1, -71.3 18, -71.3 17.8, -71.2 17.7, -71.2 17.6, -71.40000000000001 17.8, -71.5 17.8, -71.7 17.6, -71.7 17.5, -71.8 17.4, -72 17.4, -72.2 17.2, -72.3 17.2, -72.40000000000001 17.1, -72.2 16.9, -72.09999999999999 16.9, -71.5 16.3, -71.5 16.2, -71.40000000000001 16.1, -71.3 16.2, -71.2 16.2, -71.09999999999999 16.1, -71.09999999999999 15.8, -71 15.7, -70.90000000000001 15.8, -70.7 15.8, -70.8 15.7, -70.8 15.6, -70.90000000000001 15.5, -71.3 15.5, -71.3 15.8, -71.40000000000001 15.9, -71.5 15.8, -71.5 15.7, -71.7 15.5, -71.7 15.4, -71.8 15.3, -71.90000000000001 15.3, -72.2 15, -73.59999999999999 15, -73.8 15.2, -73.90000000000001 15.2, -74 15.3, -74 15.4, -74.09999999999999 15.5, -74.09999999999999 15.6, -74.2 15.7, -74.2 15.8, -74.09999999999999 15.9, -74 15.9, -73.90000000000001 16, -74 16.1, -73.90000000000001 16.2, -74.09999999999999 16.4, -73.90000000000001 16.4))",0
3,"POLYGON ((-74.40000000000001 16.4, -74.2 16.4, -74.3 16.3, -74.40000000000001 16.4))",0
4,"POLYGON ((-74.3 16, -74.40000000000001 15.9, -74.40000000000001 16.1, -74.3 16.2, -74.3 16))",0
0,"POLYGON ((-75.5 20.7, -75.3 20.5, -75.40000000000001 20.5, -75.7 20.2, -75.8 20.2, -75.90000000000001 20.1, -75.90000000000001 20.2, -75.5 20.6, -75.5 20.7))",1
1,"POLYGON ((-75.3 20.5, -75.2 20.6, -75 20.6, -74.90000000000001 20.5, -74.7 20.5, -74.8 20.4, -74.8 20.3, -75 20.5, -75.3 20.5))",1
2,"POLYGON ((-74.8 20.3, -74.7 20.2, -74.59999999999999 20.2, -74.5 20.3, -74.3 20.3, -74.09999999999999 20.1, -74.2 20, -74.3 20.1, -74.5 19.9, -74.40000000000001 19.8, -74.40000000000001 19.7, -74.5 19.7, -74.59999999999999 19.6, -74.5 19.5, -74.7 19.5, -74.7 19.6, -74.90000000000001 19.8, -75.09999999999999 19.8, -75.3 19.6, -75.40000000000001 19.6, -75.5 19.5, -75.8 19.5, -75.8 19.6, -75.59999999999999 19.6, -75.5 19.7, -75.59999999999999 19.8, -75.59999999999999 19.9, -75.40000000000001 19.9, -75.3 20, -75.09999999999999 20, -74.8 20.3))",1
3,"POLYGON ((-74.5 19.5, -74.40000000000001 19.5, -74.40000000000001 19.4, -74.5 19.5))",1
4,"POLYGON ((-90.5 19.5, -90.59999999999999 19.6, -90.7 19.6, -90.7 19.8, -90.8 19.9, -90.90000000000001 19.9, -90.90000000000001 20, -90.8 20.1, -90.8 20.3, -90.7 20.3, -90.7 20.2, -90.5 20, -90.5 19.9, -90.3 19.7, -90.2 19.7, -90.2 19.6, -90.09999999999999 19.5, -90.3 19.5, -90.40000000000001 19.4, -90.5 19.5))",1
